feature_id,missing_count,missing_rate
MIMAT0026721,381,0.9844961240310077
MIMAT0026720,156,0.40310077519379844
MIMAT0005458,127,0.3281653746770026
MIMAT0005459,368,0.9509043927648578
MIMAT0005452,260,0.6718346253229974
MIMAT0005455,386,0.9974160206718347
MIMAT0005457,339,0.875968992248062
MIMAT0000448,0,0.0
MIMAT0000449,0,0.0
MIMAT0000444,0,0.0
MIMAT0000445,0,0.0
MIMAT0000446,0,0.0
MIMAT0000447,0,0.0
MIMAT0000440,0,0.0
MIMAT0000441,0,0.0
MIMAT0000442,65,0.16795865633074936
MIMAT0000443,0,0.0
MIMAT0030017,88,0.22739018087855298
MIMAT0030018,333,0.8604651162790697
MIMAT0030019,151,0.39018087855297157
MIMAT0026619,327,0.8449612403100775
MIMAT0026618,247,0.6382428940568475
MIMAT0026615,62,0.16020671834625322
MIMAT0026614,288,0.7441860465116279
MIMAT0026617,223,0.5762273901808785
MIMAT0026616,66,0.17054263565891473
MIMAT0026611,376,0.9715762273901809
MIMAT0026610,382,0.9870801033591732
MIMAT0026613,384,0.9922480620155039
MIMAT0026612,353,0.9121447028423773
MIMAT0004813,42,0.10852713178294573
MIMAT0004812,385,0.9948320413436692
MIMAT0004811,109,0.28165374677002586
MIMAT0004810,1,0.002583979328165375
MIMAT0004814,0,0.0
MIMAT0004819,12,0.031007751937984496
MIMAT0004497,0,0.0
MIMAT0004496,8,0.020671834625323
MIMAT0004495,0,0.0
MIMAT0004494,0,0.0
MIMAT0022736,360,0.9302325581395349
MIMAT0004492,381,0.9844961240310077
MIMAT0004491,0,0.0
MIMAT0026472,14,0.03617571059431524
MIMAT0026479,112,0.28940568475452194
MIMAT0026478,163,0.42118863049095606
MIMAT0004499,42,0.10852713178294573
MIMAT0004498,77,0.19896640826873385
MIMAT0019208,1,0.002583979328165375
MIMAT0019209,384,0.9922480620155039
MIMAT0004657,0,0.0
MIMAT0019200,347,0.896640826873385
MIMAT0019201,192,0.49612403100775193
MIMAT0019202,153,0.3953488372093023
MIMAT0019203,373,0.9638242894056848
MIMAT0019204,369,0.9534883720930233
MIMAT0004658,115,0.2971576227390181
MIMAT0019206,279,0.7209302325581395
MIMAT0019207,294,0.7596899224806202
MIMAT0015006,330,0.8527131782945736
MIMAT0015007,333,0.8604651162790697
MIMAT0015004,359,0.9276485788113695
MIMAT0015005,320,0.8268733850129198
MIMAT0015002,359,0.9276485788113695
MIMAT0015003,107,0.27648578811369506
MIMAT0015001,368,0.9509043927648578
MIMAT0001630,367,0.9483204134366925
MIMAT0015008,204,0.5271317829457365
MIMAT0015009,181,0.46770025839793283
MIMAT0022282,379,0.979328165374677
