sample_barcode,patient_barcode,CNV_NMF1,CNV_NMF2,CNV_NMF3,CNV_NMF4,CNV_NMF5,CNV_NMF6,CNV_NMF7,CNV_NMF8,CNV_NMF9,CNV_NMF10,CNV_NMF11,CNV_NMF12,CNV_NMF13,CNV_NMF14,CNV_NMF15
TCGA-BR-6709-01,TCGA-BR-6709,0.04411827647381194,0.30774351773892444,0.04162695375092896,0.36114653522520984,0.34810033500573834,0.021717817499263065,0.2089575081597461,0.027864629781783327,0.2750650633873315,0.6390017745771014,0.7226602908244711,0.4426926313069563,0.1849495970456913,0.2263006724552518,0.06814143052485523
TCGA-BR-6801-01,TCGA-BR-6801,0.36675266090954217,0.48300255080492593,0.7595589942574468,0.22382700854381865,0.09169190604207678,0.1750538562147504,0.21579422426828013,0.23424377158811546,0.4942707631467661,0.3462668259841079,0.3548136772091327,0.2949129071811753,0.21300574805108655,0.3294901874937471,0.3807999762234884
TCGA-BR-6802-01,TCGA-BR-6802,0.2208782692627441,0.3059956788285096,0.29972597050554217,0.2847236597380018,0.28386460498284355,0.13871223081297537,0.2519061378639944,0.668216004529638,0.4938328100904477,0.2536906980090065,0.32341504138043353,0.35727305613245425,0.2155573938218561,0.13136706546668628,0.3783780505868172
TCGA-BR-6803-01,TCGA-BR-6803,0.20435264795923552,0.30558912250037445,0.30652376911297613,0.039720358544729016,0.39231011854638087,0.14030070592982183,0.035009085561379,0.6987249208232241,0.28110618750019933,0.3938792954265615,0.2768244374148286,0.06976139219439191,0.2713444918362707,0.17675125741948824,0.41232160213337743
TCGA-BR-6852-01,TCGA-BR-6852,0.20902209728043133,0.2916541300585552,0.3222707536125538,0.2866579810785051,0.27384385101666153,0.1214767601977277,0.27287611323682825,0.6719547467874686,0.21206918090441498,0.28730225212573957,0.3559458541035005,0.3419889653532758,0.2418050257733801,0.1463750434039405,0.38320792259670666
TCGA-BR-7196-01,TCGA-BR-7196,0.24623304112216818,0.365291375788717,0.3436253131212682,0.27874829387336086,0.24184209214816305,0.19451910341373846,0.2535364609018216,0.3374982893899097,0.5118644784757083,0.07078808238929199,0.34739223898381205,0.3501048552779882,0.23461899573022504,0.14432785316158045,0.38913620930649795
TCGA-BR-7197-01,TCGA-BR-7197,0.36125353495104184,0.5296846747506193,0.44692234855110347,1.8939589902340507e-08,0.26234433262875023,0.17974433265372816,0.5714638831514477,0.2593320796888131,0.2873449672449027,0.5500310524433129,0.596227041711178,1.6841210653041435e-05,0.47964152311647457,0.3777976084578265,0.2354491438247944
TCGA-BR-7703-01,TCGA-BR-7703,0.1663233860102418,1.0606081772264184,0.4270532751917076,0.2607849501128157,0.02450708892402697,0.16060397014884087,0.23549286158475677,0.3283770451460432,0.17492214646762785,0.1745514319308178,0.37899978364430637,0.3203938938398676,0.14609482650725875,0.5314593115164592,0.34084009474034943
TCGA-BR-7704-01,TCGA-BR-7704,0.22448147288729764,0.00920574972724832,0.7395635970568155,0.30549154910648985,1.3678499780160208e-07,0.010213365278607545,0.6759614293179216,0.659767849070441,0.04955393340738623,0.47336153394884584,0.14407484075341695,0.0848297993216109,0.5765494853940238,0.5767977326738956,0.0010618101463968853
TCGA-BR-7715-01,TCGA-BR-7715,0.5436770616183195,0.7579301024422923,0.02379538331789419,0.013149835418498568,0.6368986097406272,0.004536330936383145,0.6412091637060909,0.05363974456349943,2.8582592258527955e-10,0.6001639565792897,0.26945446290412406,0.008471489810694496,0.34095234845479777,0.46222376922063735,0.08375699288140889
